unified_id,method,perturbation_count,target_in@1,target_in@3,target_in@5,target_in@10,best_rank_any_perturb,worst_rank_any_perturb,jaccard_top10_across_perturbs,mean_latency_ms
UNI-3413B2D00693,Dense_Only,5,0,0,0,0,,,0.6666666666666666,43.47233772277832
UNI-3413B2D00693,BM25_Only,5,0,0,0,0,,,1.0,902.6642322540283
UNI-3413B2D00693,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,993.8226222991943
UNI-3413B2D00693,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,904.1185855865479
UNI-661C33CCF7F6,Dense_Only,5,0,0,0,0,,,0.46153846153846156,40.55743217468262
UNI-661C33CCF7F6,BM25_Only,5,0,0,0,0,,,1.0,879.492712020874
UNI-661C33CCF7F6,Hybrid_NoRerank,5,0,0,0,0,,,0.5,963.2827758789062
UNI-661C33CCF7F6,Hybrid_Rerank,5,0,0,0,0,,,0.5,811.4880561828613
UNI-19B123990F1D,Dense_Only,5,0,0,0,0,,,0.5,42.02752113342285
UNI-19B123990F1D,BM25_Only,5,0,0,0,0,,,1.0,1082.6486110687256
UNI-19B123990F1D,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,1005.7884216308594
UNI-19B123990F1D,Hybrid_Rerank,5,0,0,0,0,,,0.6666666666666666,951.4322757720947
UNI-EA78AE689ECB,Dense_Only,5,0,0,0,0,,,0.8181818181818182,43.401479721069336
UNI-EA78AE689ECB,BM25_Only,5,0,0,0,0,,,1.0,908.238935470581
UNI-EA78AE689ECB,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,723.7980365753174
UNI-EA78AE689ECB,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,760.8145713806152
UNI-DE5CB9CC4075,Dense_Only,5,0,0,0,0,,,0.8181818181818182,42.44527816772461
UNI-DE5CB9CC4075,BM25_Only,5,0,0,0,0,,,0.8181818181818182,1082.0101261138916
UNI-DE5CB9CC4075,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,908.3612442016602
UNI-DE5CB9CC4075,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,966.5799617767334
UNI-D6B8CE443B73,Dense_Only,5,0,0,0,0,,,0.5384615384615384,40.95416069030762
UNI-D6B8CE443B73,BM25_Only,5,0,0,0,0,,,1.0,821.7373847961426
UNI-D6B8CE443B73,Hybrid_NoRerank,5,0,0,0,0,,,0.42857142857142855,700.8566379547119
UNI-D6B8CE443B73,Hybrid_Rerank,5,0,0,0,0,,,0.42857142857142855,689.3673419952393
UNI-2B4F2B5F1F42,Dense_Only,5,0,0,0,0,,,0.6666666666666666,43.078041076660156
UNI-2B4F2B5F1F42,BM25_Only,5,0,0,0,0,,,0.8181818181818182,947.5510120391846
UNI-2B4F2B5F1F42,Hybrid_NoRerank,5,0,0,0,0,,,1.0,1005.9307098388672
UNI-2B4F2B5F1F42,Hybrid_Rerank,5,0,0,0,0,,,1.0,879.0732860565186
UNI-30EB66A9EA56,Dense_Only,5,0,0,0,0,,,1.0,42.82197952270508
UNI-30EB66A9EA56,BM25_Only,5,0,0,0,0,,,0.6666666666666666,1051.7474174499512
UNI-30EB66A9EA56,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,906.9258689880371
UNI-30EB66A9EA56,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,860.3890895843506
UNI-E3CDC4D7D706,Dense_Only,5,0,0,0,0,,,0.5,44.6380615234375
UNI-E3CDC4D7D706,BM25_Only,5,0,0,0,0,,,0.6666666666666666,1113.7557983398438
UNI-E3CDC4D7D706,Hybrid_NoRerank,5,0,0,0,0,,,0.75,913.170862197876
UNI-E3CDC4D7D706,Hybrid_Rerank,5,0,0,0,0,,,0.75,1085.8625411987305
UNI-79015491C4A7,Dense_Only,5,0,0,0,0,,,0.25,50.235700607299805
UNI-79015491C4A7,BM25_Only,5,0,0,0,0,,,0.8181818181818182,857.6109886169434
UNI-79015491C4A7,Hybrid_NoRerank,5,0,0,0,0,,,0.3125,861.699628829956
UNI-79015491C4A7,Hybrid_Rerank,5,0,0,0,0,,,0.3125,926.2697696685791
UNI-33DE77D31CA8,Dense_Only,5,0,0,0,0,,,0.42857142857142855,57.05995559692383
UNI-33DE77D31CA8,BM25_Only,5,0,0,0,0,,,0.8181818181818182,783.6055278778076
UNI-33DE77D31CA8,Hybrid_NoRerank,5,0,0,0,0,,,0.5,803.1296253204346
UNI-33DE77D31CA8,Hybrid_Rerank,5,0,0,0,0,,,0.5,801.2294292449951
UNI-9A037D8689AD,Dense_Only,5,0,0,0,0,,,0.6153846153846154,60.669851303100586
UNI-9A037D8689AD,BM25_Only,5,0,0,0,0,,,0.8181818181818182,959.6175193786621
UNI-9A037D8689AD,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,853.5544395446777
UNI-9A037D8689AD,Hybrid_Rerank,5,0,0,0,0,,,0.5833333333333334,875.8817672729492
UNI-7FDBC1FCF42E,Dense_Only,5,0,0,0,0,,,1.0,53.789377212524414
UNI-7FDBC1FCF42E,BM25_Only,5,0,0,0,0,,,0.8181818181818182,999.5508193969727
UNI-7FDBC1FCF42E,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,909.911298751831
UNI-7FDBC1FCF42E,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,993.310546875
